"","data.admin0Name","data.admin1Name"
"1","Burkina Faso","Centre-Nord"
"2","Burkina Faso","Nord"
"3","Burkina Faso","Sahel"
"4","Chad","Zone 2"
"5","Chad","Zone 3"
"6","Chad","Zone 4"
"7","Chad","Zone 5"
"8","Mali","Gao"
"9","Mali","Kayes"
"10","Mali","Koulikoro"
"11","Mali","Mopti"
"12","Mali","Segou"
"13","Mali","Tombouctou"
"14","Mauritania","Assaba"
"15","Mauritania","Brakna"
"16","Mauritania","Gorgol"
"17","Mauritania","Guidimakha"
"18","Mauritania","Hodh Ech Chargi"
"19","Mauritania","Hodh El Gharbi"
"20","Mauritania","Tagant"
"21","Mauritania","Nouakchott"
"22","Mauritania","Trarza"
"23","Niger","Diffa"
"24","Niger","Dosso"
"25","Niger","Maradi"
"26","Niger","Tahoua"
"27","Niger","Tillaberi"
"28","Niger","Niamey"
"29","Niger","Zinder"
"30","Nigeria","Borno"
"31","Nigeria","Jigawa"
"32","Nigeria","Kano"
"33","Nigeria","Katsina"
"34","Nigeria","Sokoto"
"35","Nigeria","Yobe"
"36","Nigeria","Zamfara"
"37","Senegal","Dakar"
"39","Senegal","Diourbel"
"41","Senegal","Louga"
"43","Senegal","Saint Louis"
"45","Senegal","Thies"
